"Frame 1"
Table view
"Name","Meaning","Connection to Product","Tone","Category"
"Margin","The intentional whitespace around content—both literally and metaphorically. The breathing room to think clearly.","Captures stepping into a cleaner, quieter space. Evokes annotation and reflection (writing in the margins).","Minimal, thoughtful, grounded, design-forward","Top Pick"
"Settle","To come to rest, to calm down, to focus inward.","Describes the transition from chaotic browsing to intentional reading. It's an action and a feeling.","Warm, calming, human, invites slowing down","Top Pick"
"Clearview","Unobstructed perspective—seeing content and ideas without interference.","Emphasizes clarity and focus. Suggests both visual design (clean UI) and mental clarity (deep thinking).","Confident, functional, modern, elegant","Top Pick"
"Nest","A safe, contained space built for a specific purpose.","Evokes creating a personal reading refuge. Intimate, cozy, intentional.","Warm, immersive, protective, retreat-like","Top Pick"
"Threshold","The point of entry into a new space or state of mind.","Captures stepping away from distraction into focus. Suggests transition and intention.","Contemplative, poetic, design-conscious, gravitas","Top Pick"
"Still","Simple, meditative, focused","","Calm & Grounded","Calm & Grounded"
"Ease","Effortless clarity","","Calm & Grounded","Calm & Grounded"
"Ground","Centered, present","","Calm & Grounded","Calm & Grounded"
"Pause","Intentional stopping point","","Calm & Grounded","Calm & Grounded"
"Anchor","Stability in the noise","","Calm & Grounded","Calm & Grounded"
"Deepen","Going below the surface","","Immersive & Deep","Immersive & Deep"
"Sink","Fully absorbed","","Immersive & Deep","Immersive & Deep"
"Immerse","Total engagement","","Immersive & Deep","Immersive & Deep"
"Fold","Wrapping yourself in content","","Immersive & Deep","Immersive & Deep"
"Dwell","Lingering with intention","","Immersive & Deep","Immersive & Deep"
"OnePage","Singular focus, literal","","Clear & Functional","Clear & Functional"
"ClearRead","Direct, no-nonsense","","Clear & Functional","Clear & Functional"
"Signal","Cutting through the noise","","Clear & Functional","Clear & Functional"
"Frame","Intentional boundary","","Clear & Functional","Clear & Functional"
"Focus State","UX terminology, precise","","Clear & Functional","Clear & Functional"
"Whitespace","Design principle as product name","","UX/Design Concept","UX/Design Concept"
"Measure","Thoughtful pacing and structure","","UX/Design Concept","UX/Design Concept"
"Span","The arc of attention","","UX/Design Concept","UX/Design Concept"
"Grain","Texture, detail, closeness","","UX/Design Concept","UX/Design Concept"
"Axis","Central point of focus","","UX/Design Concept","UX/Design Concept"
"Tether","Keeping attention connected","","Unique & Memorable","Unique & Memorable"
"Haven","Safe reading space","","Unique & Memorable","Unique & Memorable"
"Lumen","Light, clarity, illumination","","Unique & Memorable","Unique & Memorable"
"Sift","Filtering signal from noise","","Unique & Memorable","Unique & Memorable"
